Bird_lib,Adenoviridae,Anelloviridae,Astroviridae,Caliciviridae,Coronaviridae,Flaviviridae,Hepadnaviridae,Orthoherpesviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Sedoreoviridae,Spinareoviridae,Tobaniviridae
195,0.996448966,0,0.002015452,0,0,0,0,0,0,0.001535582,0,0,0,0,0,0,0
196,0,0,0.942433384,0,0,0,0,0,0,0,0,0,0,0,0.057566616,0,0
197,0.437863178,0,0.074221711,0.062838616,0.22648289,0,0,0.184992842,0,0,0,0.001136906,0,0,0.012463858,0,0
198,0,0,0,0.052230535,0.283319479,0,0,0,0,0,0,0.504017733,0,0,0.160432253,0,0
199,0.003435115,0,0.589694656,0.023091603,0.003244275,0,0,0.007681298,0,0,0,0.311164122,0,0,0.061688931,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
